date,A2C,DDPG,PPO,TD3,SAC
2022-02-24,158049.9887120897,209256.459722603,160696.57215092494,158899.7131726839,225043.41618219018
2022-02-25,161772.0255162889,219501.5869503862,163522.86831201197,162615.05741096515,230725.28117242455
2022-02-28,161797.89638115707,220909.15305146042,168208.52556909205,162592.79178596515,230347.53672662377
2022-03-02,157652.74647881332,217755.59869965378,170499.48116601587,158290.9973523714,225711.67881646752
2022-03-03,157495.09420043198,217537.91380118576,170328.98451443505,158132.7357556917,225486.07001214626
2022-03-04,159186.9948325426,218883.22610562915,166291.31515666225,159665.2462815096,222349.9435197299
2022-03-07,159027.91854450246,218664.4902982256,166125.13455955533,159505.72072795127,222127.65204656246
2022-03-08,159027.91854450246,218664.4902982256,166125.13455955533,159505.72072795127,222127.65204656246
2022-03-09,163880.3537957537,225763.19386626454,173794.17135575897,164389.31094664027,229690.07189686617
2022-03-10,164801.28857968925,226810.10959197255,177528.79849198944,165344.61105650355,229305.01945681794
2022-03-11,164159.7156884539,226734.78282500478,178185.1549830783,164648.57838743617,228821.21124465976
2022-03-14,164554.221685158,228843.67251921864,179573.59243730194,165041.5130340426,229878.24387558017
2022-03-15,164062.93129514335,223621.18367339345,177241.51501420623,164550.43426817347,226845.45152481113
2022-03-16,171678.80545590995,229610.24698210927,180841.47651628143,172133.07362669398,235309.3690968326
2022-03-17,173564.0286004412,230294.29091216298,185497.2013240207,174053.04977720667,237172.66634567294
2022-03-21,168770.62228940605,227387.2753787157,184045.45391801483,169206.437991318,232424.63901718173
2022-03-22,169287.10024045585,234053.13553191395,188364.76725724823,169690.00841062953,235931.2728367618
2022-03-23,169975.12633298515,234767.89932585927,188276.43551591522,170336.6051360934,236703.07090957675
2022-03-24,172964.4748895037,236620.8941073534,189937.97357133514,173297.9917022555,240832.2297383121
2022-03-25,172113.2179162371,233247.27641631337,190635.5249476779,172425.49083250453,238075.1237202457
2022-03-28,173267.6089532244,233486.23175383778,192552.16482499725,173510.6915008395,238642.64285476718
2022-03-29,177813.5690667498,232725.9254946825,192481.18231156952,178092.95093077113,242425.9528294376
2022-03-30,180725.7800042498,230060.56309844228,197546.83435014373,181123.55499571253,243442.49371536289
2022-03-31,179765.13149045585,231200.3624606249,195464.99583390838,180131.36198728968,242785.29484756503
2022-04-01,181501.77881406425,233416.4201998827,196797.45942643768,181878.70448606898,243797.3265553287
2022-04-04,183530.8752801287,236308.01990081044,197431.1515040744,183956.11128538538,246203.70501907382
2022-04-05,183347.4148281939,236071.76205602285,197233.77718721036,183772.20743519618,245957.60528353916
2022-04-06,183413.45100690486,232443.41191564203,196168.31363053923,183874.2646344607,242004.69101104775
2022-04-07,183415.17936994196,233814.88762364985,193939.26096643097,183859.66945013453,240152.59878692665
2022-04-08,186107.5725889361,233321.53075109125,197098.40763391144,186416.69038519313,239349.4564376835
2022-04-11,186766.48811627986,232720.65147863032,196179.65108789093,186984.0482800906,236683.23204193154
2022-04-12,184535.3929014361,230065.7899063647,193324.97622216828,184721.26501593043,236238.3156753544
2022-04-13,183299.6297788775,229418.8339737475,192301.20215905792,183452.16960272242,234898.97277984658
2022-04-18,180928.20161725642,222569.3886612475,191214.07335961945,181024.87692388942,229625.75271759072
2022-04-19,180747.30010450006,222346.82117351558,191022.94441064485,180843.8935974734,229396.17632881203
